sub_id,VG_Shooters_Freq_1,VG_Shooters_Screen_1,VG_Shooters_Screen_2,VG_Action_Freq_1,VG_Action_Screen_1,VG_Action_Screen_2,VG_Sports_Freq_1,VG_Sports_Screen_1,VG_Sports_Screen_2,VG_RTStrat_Freq_1,VG_RTStrat_Screen_1,VG_RTStrat_Screen_2,VG_Fantasy_Freq_1,VG_Fantasy_Screen_1,VG_Fantasy_Screen_2,VG_LifeSim_Freq_1,VG_LifeSim_Screen_1,VG_LifeSim_Screen_2,VG_Music_Freq_1,VG_Music_Screen_1,VG_Music_Screen_2,VG_Other_Freq_1,VG_Other_Screen_1,VG_Other_Screen_2,VG_Shooters_Freq_P_1,VG_Shooters_Screen_P_1,VG_Shooters_Screen_P_2,VG_Action_Freq_P_1,VG_Action_Screen_P_1,VG_Action_Screen_P_2,VG_Sports_Freq_P_1,VG_Sports_Screen_P_1,VG_Sports_Screen_P_2,VG_RTStrat_Freq_P_1,VG_RTStrat_Screen_P_1,VG_RTStrat_Screen_P_2,VG_Fantasy_Freq_P_1,VG_Fantasy_Screen_P_1,VG_Fantasy_Screen_P_2,VG_LifeSim_Freq_P_1,VG_LifeSim_Screen_P_1,VG_LifeSim_Screen_P_2,VG_Music_Freq_P_1,VG_Music_Screen_P_1,VG_Music_Screen_P_2,VG_Other_Freq_P_1,VG_Other_Screen_P_1,VG_Other_Screen_P_2,,,,,,
 SPR231072,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
 SPR231483,2,1,1,3,1,3,1,3,2,,,2,,2,,1,2,,,2,,2,,1,4,4,3,6,1,3,1,2,2,2,2,2,,2,,1,2,2,2,2,,2,,1,,,,,,
 SPR231578,1,1,1,1,1,1,1,3,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,3,,,,,,,,1,,,,,,,,1,,,,,,
 SPR231684,1,1,1,1,1,1,1,4,,,,,,,,2,,,,,,,,2,1,1,1,,1,1,1,4,,,,,,,,2,,,,,,,,2,,,,,,
 SPR231741,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,4,2,1,1,4,1,4,,2,2,,,1,,1,,2,2,,,1,,1,,,,,,
 SPR231829,5,2,3,1,1,4,1,1,2,2,2,,,1,,,2,2,2,,,1,,,6,5,5,2,1,5,3,4,2,2,2,1,,2,2,2,2,2,2,1,,2,2,2,,,,,,
 SPR231910,5,6,1,2,3,1,1,1,2,2,,1,1,,,,2,2,,1,1,,,,6,6,5,4,4,1,1,1,2,2,2,1,1,,,,2,2,2,1,1,,,,,,,,,
 SPR232176,6,6,2,4,1,1,1,2,2,2,2,2,,,,1,2,2,2,2,,,,1,6,5,1,1,1,1,1,2,2,2,,,,,,1,2,2,,,,,,1,,,,,,
 SPR232210,1,3,1,4,2,1,1,1,,2,,1,2,,,,,2,,1,2,,,,1,3,3,4,1,1,1,1,,2,1,1,,,,,,2,1,1,,,,,,,,,,
 SPR232416,3,1,2,1,1,1,1,1,2,,2,,,,,,2,,2,,,,,,4,3,1,1,1,1,1,1,2,2,,,,,,,2,2,,,,,,,,,,,,
 SPR232716,2,6,6,1,1,4,1,3,2,2,2,,,,,2,2,2,2,,,1,,2,3,5,6,1,1,4,1,4,2,2,2,,,1,,1,2,2,2,,,1,,1,,,,,,
 SPR232999,3,1,2,1,1,3,1,3,2,,2,,,2,,1,2,,2,,,2,,2,3,1,2,1,1,3,2,3,2,,2,,,2,2,1,2,,2,,,2,2,2,,,,,,
 SPR233336,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,,,,,,1,,1,,,,,,2,,2,,,,,,
 SPR233379,3,1,2,1,1,3,1,1,2,,2,,,1,,,1,,2,,,1,,,4,1,1,1,1,5,1,1,2,,,,,1,,,2,,,,,1,,,,,,,,
 SPR233457,5,4,3,5,1,1,1,1,2,2,2,2,,,,,2,2,2,2,,,,,6,6,6,6,6,6,5,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,,,,,,
 SPR233497,1,1,1,1,1,2,1,3,,,,,,1,,2,,,,,,1,,1,1,1,1,1,1,2,1,3,,,,,,1,,2,,,,,,1,,2,,,,,,
 SPR233510,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,,,2,,,,,,,,2,,,,,,,,,,,
 SPR233548,1,1,1,1,1,1,1,4,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,4,,,,,,,,1,,,,,,,,1,,,,,,
 SPR233549,1,1,1,1,1,4,1,4,,,,,,1,,1,,,,,,1,,1,1,1,1,1,1,4,1,4,,,,,,1,,1,,,,,,1,,1,,,,,,
 SPR233615,5,6,2,4,1,5,1,3,2,2,2,2,,2,,2,2,2,2,2,,2,,2,5,6,2,4,1,6,1,4,2,2,2,2,,2,,2,2,2,2,2,,2,,2,,,,,,
 SPR233623,1,1,2,1,1,5,1,3,,,2,,,1,,1,,,2,,,1,,1,1,1,3,1,1,5,3,2,,,2,,,1,2,1,,,2,,,1,2,1,,,,,,
 SPR233738,1,1,1,1,1,3,1,2,,,,,,1,,1,,,,,,1,,1,1,1,1,1,1,3,1,2,,,,,,1,,1,,,,,,1,,1,,,,,,
 SPR233799,3,2,1,1,1,2,1,1,2,2,,,,2,,,2,2,,,,2,,,2,3,1,1,1,3,1,1,2,2,,,,2,,,2,2,,,,2,,,,,,,,
 SPR233865,1,3,5,1,1,3,1,3,,2,2,,,1,,2,,2,2,,,1,,2,2,4,6,2,4,3,1,4,2,2,2,2,2,1,,2,2,2,2,2,2,1,,2,,,,,,
 SPR233909,3,6,3,3,6,2,3,4,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,3,5,2,2,6,2,1,2,2,1,2,2,2,2,,1,2,2,2,2,2,2,,1,,,,,,
 SPR233927,1,1,2,1,1,6,1,3,,,2,,,1,,2,,,2,,,1,,2,1,1,2,1,1,5,1,3,,,1,,,2,,1,,,2,,,2,,1,,,,,,
 SPR233933,1,1,1,1,4,3,1,6,,,,,1,1,,1,,,,,2,1,,1,1,1,3,1,6,6,1,6,,,2,,1,1,,1,,,2,,1,1,,1,,,,,,
 SPR234009,1,3,2,1,1,4,2,3,,1,2,,,1,1,1,,2,2,,,1,1,1,1,3,1,1,1,5,3,5,,2,,,,1,1,1,,2,,,,1,1,1,,,,,,
 SPR234039,3,4,1,1,4,6,5,1,1,1,,,1,1,2,,2,2,,,2,2,2,,6,4,4,1,1,6,5,1,2,1,1,,,1,2,,2,2,2,,,2,2,,,,,,,
 SPR2388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 SPR234383,1,1,1,1,1,1,6,6,,,,,,,1,2,,,,,,,1,2,1,1,6,1,1,6,6,6,,,2,,,2,2,2,,,2,,,2,1,2,,,,,,
 SPR234508,1,1,4,2,3,3,2,3,,,2,2,2,1,2,2,,,2,2,2,1,2,2,1,1,4,2,4,5,1,3,,,2,2,2,2,,1,,,2,2,2,2,,1,,,,,,
 SPR234620,1,3,1,1,1,1,1,4,,1,,,,,,1,,1,,,,,,1,1,3,1,1,1,1,1,4,,1,,,,,,1,,1,,,,,,1,,,,,,
 SPR234725,2,1,3,1,2,3,2,3,1,,1,,,,,1,,,,,1,1,1,,2,1,3,1,2,3,1,3,1,,1,,,,,1,,,,,1,1,,,,,,,,
 SPR234839,1,1,1,1,1,4,1,3,,,,,,2,,1,,,,,,2,,1,1,1,3,1,1,3,1,3,,,2,,,2,,1,,,2,,,2,,1,,,,,,
 SPR234886,2,4,1,1,1,4,1,1,1,1,,,,2,,,2,2,,,,1,,,4,4,2,1,1,4,1,1,1,1,1,,,2,,,1,2,1,,,1,,,,,,,,
 SPR234897,1,1,2,1,3,3,1,3,,,2,,2,2,,2,,,2,,1,1,,2,1,1,2,1,2,2,1,3,,,2,,2,2,,2,,,2,,1,1,,1,,,,,,
 SPR234992,2,1,2,1,1,5,1,4,2,,2,,,1,,1,2,,2,,,1,,1,2,1,2,1,1,5,2,5,2,,2,,,1,1,1,2,,2,,,1,1,1,,,,,,
 SPR235081,1,1,6,1,1,4,1,6,,,1,,,2,,1,,,2,,,2,,1,1,1,1,1,1,5,1,6,,,,,,2,,1,,,,,,2,,1,,,,,,
 SPR235097,1,1,2,1,1,2,1,3,,,2,,,1,,1,,,2,,,1,,1,3,1,3,1,1,2,2,3,2,,2,,,1,2,1,2,,2,,,1,2,1,,,,,,
 SPR235104,1,1,3,1,1,6,1,5,,,2,,,1,,1,,,2,,,2,,1,6,6,5,1,6,6,3,6,1,1,1,,1,1,2,1,2,2,2,,1,1,2,1,,,,,,
 SPR235129,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
 SPR235151,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
 SPR235169,1,1,2,1,1,4,1,3,,,2,,,1,,2,,,2,,,1,,1,1,1,1,1,1,3,1,1,,,,,,1,,,,,,,,1,,,,,,,,
 SPR235197,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,